Flight No.,Date,Time,Launch site,Payload mass,Orbit,Customer,Payload,Launch outcome,Version Booster,Booster landing
66,23 December 2018,13:51,CCAFS,"4,400 kg",MEO,USAF,GPS III,Success,F9 B5[,No attempt
67,11 January 2019,15:31,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,"Success
",F9 B5B1049.2397,Success
68,22 February 2019,01:45,CCAFS,"4,850 kg",GTO,PSN,Nusantara Satu,"Success
",F9 B5B1048.3399,Success
69,2 March 2019,07:49,KSC,"12,055 kg",LEO,NASA,Crew Dragon Demo-1,"Success
",F9 B5[]413,Success
70,4 May 2019,06:48,CCAFS,"2,495 kg",LEO,NASA,SpaceX CRS-17,"Success
",F9 B5[,Success
71,24 May 2019,02:30,CCAFS,"13,620 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.3434,Success
72,12 June 2019,14:17,VAFB,"4,200 kg",SSO,Canadian Space Agency,RADARSAT Constellation,"Success
",F9 B5B1051.2420,Success
73,25 July 2019,22:01,CCAFS,"2,268 kg",LEO,NASA,SpaceX CRS-18,"Success
",F9 B5B1056.2465,Success
74,6 August 2019,23:23,CCAFS,"6,500 kg",GTO,Spacecom,AMOS-17,"Success
",F9 B5B1047.3472,No attempt
75,11 November 2019,14:56,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
76,5 December 2019,17:29,CCAFS,"2,617 kg",LEO,NASA,SpaceX CRS-19,"Success
",F9 B5[,Success
77,17 December 2019,00:10,CCAFS,"6,956 kg",GTO,Sky Perfect JSAT,JCSat-18,"Success
",F9 B5B1056.3482,Success
78,7 January 2020,02:19:21,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
79,19 January 2020,15:30,KSC,"12,050 kg",Sub-orbital,NASA,Crew Dragon in-flight abort test,"Success
",F9 B5,"No attempt
"
80,29 January 2020,14:07,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
81,17 February 2020,15:05,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Failure
82,7 March 2020,04:50,CCAFS,"1,977 kg",LEO,NASA,SpaceX CRS-20,"Success
",F9 B5,Success
83,18 March 2020,12:16,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Failure
84,22 April 2020,19:30,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
85,30 May 2020,19:22,KSC,"12,530 kg",LEO,NASA,Crew Dragon Demo-2,"Success
",F9 B5[,Success
86,4 June 2020,01:25,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
87,13 June 2020,09:21,CCAFS,"15,410 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
88,30 June 2020,20:10:46,CCAFS,"4,311 kg",MEO,U.S. Space Force,GPS III,"Success
",F9 B5,Success
89,20 July 2020,21:30,CCAFS,"5,000–6,000 kg",GTO,Republic of Korea Army,ANASIS-II,"Success
",F9 B5B1058.2544,Success
90,7 August 2020,05:12,KSC,"14,932 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
91,18 August 2020,14:31,CCAFS,"~15,440 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.6544,Success
92,30 August 2020,23:18,CCAFS,"3,130 kg",SSO,CONAE,SAOCOM 1B,"Success
",F9 B5,Success
93,3 September 2020,12:46:14,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.2563,Success
94,6 October 2020,11:29:34,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1058.3565,Success
95,18 October 2020,12:25:57,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.6568,Success
96,24 October 2020,15:31:34,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
97,5 November 2020,23:24:23,CCAFS,"4,311 kg",MEO,USSF,GPS III,"Success
",F9 B5,Success
98,16 November 2020,00:27,KSC,"~12,500 kg",LEO,NASA,Crew-1,"Success
",F9 B5[,Success
99,21 November 2020,17:17:08,VAFB,"1,192 kg",LEO,NASA,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5,Success
100,25 November 2020,02:13,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
101,6 December 2020,16:17:08,KSC,"2,972 kg",LEO,NASA,SpaceX CRS-21,"Success
",F9 B5 ♺[,Success
102,13 December 2020,17:30:00,CCSFS,"7,000 kg",GTO,Sirius XM,SXM-7,"Success
",F9 B5 ♺,Success
103,19 December 2020,14:00:00,KSC,C,LEO,NRO,NROL-108,"Success
",F9 B5 ♺,Success
104,8 January 2021,02:15,CCSFS,"3,500 kg",GTO,Türksat,Türksat 5A,"Success
",F9 B5,Success
105,20 January 2021,13:02,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.8609,Success
106,24 January 2021,15:00,CCSFS,"~5,000 kg",SSO,Unknown,Transporter-1,"Success
",F9 B5B1058.5613,Success
107,4 February 2021,06:19,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
108,16 February 2021,03:59:37,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Failure
109,4 March 2021,08:24,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
110,11 March 2021,08:13:29,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
111,14 March 2021,10:01,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Success
112,24 March 2021,08:28,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.6643,Success
113,7 April 2021,16:34,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Success
114,23 April 2021,9:49,KSC,"~13,000 kg",LEO,NASA,Crew-2,"Success
",F9 B5B1061.2647,Success
115,29 April 2021,03:44,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.7652,Success
116,4 May 2021,19:01,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.9655,Success
117,9 May 2021,06:42,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.10657,Success
118,15 May 2021,22:56,KSC,"~14,000 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1058.8660,Success
119,26 May 2021,18:59,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1063.2665,Success
120,3 June 2021,17:29,KSC,"3,328 kg",LEO,NASA,SpaceX CRS-22,"Success
",F9 B5B1067.1668,Success
121,6 June 2021,04:26,CCSFS,"7,000 kg",GTO,Sirius XM,SXM-8,"Success
",F9 B5,Success
